k_number,decision_date,date_received,product_code,applicant,device_name,decision_description,clearance_type,advisory_committee_description,country_code,state,expedited_review_flag,third_party_flag,statement_or_summary,pdf_url
K041323,2004-11-17,2004-05-18,GEX,"New Star Lasers, Inc.","PULSED LIGHT THERAPY SYSTEM, MODEL PRIMA",Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K041323
K040659,2004-06-01,2004-03-12,GEX,Mccue Plc,MCCUE PLC ENERGIST ULTRA VARIABLE PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",GB,,,Y,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K040659
K041095,2004-05-26,2004-04-27,GEX,"Cynosure, Inc.",PHOTOSILK PULSED LIGHT SYSTEM,Substantially Equivalent,Special,"General, Plastic Surgery",US,MA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K041095
K033549,2004-03-10,2003-11-12,GEX,"Palomar Medical Products, Inc.",STARLUX PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,MA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K033549
K032191,2003-08-20,2003-07-17,GEX,Luxsano AB,OMNILIGHT FLUORESCENT PULSED LIGHT SYSTEM,Substantially Equivalent,Special,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K032191
K030342,2003-07-17,2003-02-03,GEX,"Lumenis, Ltd.",LUMENIS FAMILY OF IPL SYSTEMS AND COMBINATION IPL/ND:YAG SYSTEMS,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K030342
K024259,2003-06-20,2002-12-23,GEX,"New Star Lasers, Inc.","PULSED LIGHT THERAPY SYSTEM, MODEL# UV-300",Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K024259
K024093,2003-06-19,2002-12-11,GEX,"Lumenis, Ltd.",MODIFIED LUMENIS FAMILY OF INTENSE PULSED-LIGHT (IPL) AND COMBINATION IPL SYSTEMS AND ND:YAG LASER SYSTEMS,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K024093
K030527,2003-05-20,2003-02-19,GEX,Lumenis,LUMENIS FAMILY OF IPL AND COMBINATION IPL/ND:YAG SYSTEMS,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K030527
K023081,2002-12-16,2002-09-17,GEX,Medical Bio Care Sweden AB,PROLITE / PLASMALITE MPX PULSED LIGHT SYSTEM (PERMANENT HAIR REDUCTION),Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K023081
K022378,2002-10-18,2002-07-22,GEX,Medical Bio Care Sweden AB,PLASMALITE PULSED LIGHT SYSTEM,Substantially Equivalent,Traditional,"General, Plastic Surgery",US,CA,,N,Summary,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K022378
